,filename,results
0,1664525395845832700_frame0.jpg,"['tv', 'cnn', 'cnn']"
1,1679793606799433700_frame0.jpg,"['tv', 'fox_news']"
2,1678522915336814600_frame0.jpg,"['tv', 'fox_news']"
3,1680710281136795600_frame0.jpg,"['tv', 'fox_news']"
4,1678350253662789600_frame0.jpg,"['tv', 'fox_news', 'cnn']"
5,1680897238529818600_frame0.jpg,"['tv', 'fox_news']"
6,1679387047539806200_frame0.jpg,"['tv', 'fox_news']"
7,1684546491319918600_frame0.jpg,"['tv', 'cbs']"
8,1654799115801944000_frame0.jpg,"['tv', 'msnbc', 'tv']"
9,1666519309179973600_frame0.jpg,"['tv', 'espn']"
10,1666127679142801400_frame0.jpg,"['tv', 'msnbc']"
11,1670168244951990300_frame0.jpg,"['tv', 'tnt', 'tv']"
12,1678738846495342600_frame0.jpg,"['tv', 'fox_news', 'tv', 'tv']"
13,1684626507437252600_frame0.jpg,"['tv', 'cbs', 'cbs']"
14,1669282307015508000_frame0.jpg,"['tv', 'abc']"
15,1684566573903249400_frame0.jpg,"['tv', 'tv', 'cbs']"
16,1684588413908471800_frame0.jpg,"['tv', 'cbs', 'cbs']"
17,1665401139157311500_frame0.jpg,"['tv', 'msnbc']"
18,1662460689832321000_frame0.jpg,"['tv', 'cnn']"
19,1646484711939317800_frame0.jpg,"['tv', 'cbs', 'cbs', 'tv', 'tv']"
20,1682658954888421400_frame0.jpg,"['tv', 'fox_news']"
21,1682839133493522400_frame0.jpg,"['tv', 'fox_news', 'tv']"
22,1684601954694721500_frame0.jpg,"['tv', 'cbs', 'cbs']"
23,1673065212959359000_frame0.jpg,"['tv', 'abc']"
24,1669665210580951000_frame0.jpg,"['tv', 'cnn']"
25,1674050037761540000_frame0.jpg,"['tv', 'abc', 'espn', 'espn']"
26,1684635095757090800_frame0.jpg,"['tv', 'cbs', 'cbs']"
27,1668178821276311600_frame0.jpg,"['tv', 'cnn', 'tv']"
28,1666878619126931500_frame0.jpg,"['tv', 'tnt']"
29,1668206059933724700_frame0.jpg,"['tv', 'cnn']"
30,1658807533122388000_frame0.jpg,"['tv', 'espn', 'tv']"
31,1668975913540329500_frame0.jpg,"['tv', 'msnbc']"
32,1684598091413581800_frame0.jpg,"['tv', 'cbs', 'cbs']"
33,1643159670761742300_frame0.jpg,['tv']
34,1669845888828199000_frame0.jpg,"['tv', 'cnn']"
35,1678832079359565800_frame0.jpg,"['tv', 'abc']"
36,1662890145877119000_frame0.jpg,"['tv', 'cnn', 'cnn']"
37,1666487516405981200_frame0.jpg,"['tv', 'espn', 'tnt', 'tv']"
38,1653024841349054500_frame0.jpg,"['tv', 'tv', 'espn', 'espn']"
39,1665130365393674200_frame0.jpg,"['tv', 'msnbc']"
